"Points:0","Points:1","Points:2"
0.70358,-0.01357,0
0.71573,0,0
0.71573,-0.0023431,0
0.71573,-0.0067848,0
0.71573,-0.011226,0
0.71573,-0.01357,0
0.73876,0,0
0.73876,-0.0023431,0
0.73876,-0.0067848,0
0.73876,-0.011226,0
0.73876,-0.01357,0
0.76179,0,0
0.76179,-0.0023431,0
0.76179,-0.0067848,0
0.76179,-0.011226,0
0.76179,-0.01357,0
0.77394,0,0
0.77394,-0.0023431,0
0.77394,-0.0067848,0
0.77394,-0.011226,0
0.77394,-0.01357,0
0.77394,0,0
0.77394,-0.0023431,0
0.77394,-0.0067848,0
0.77394,-0.011226,0
0.77394,-0.01357,0
0.78609,0,0
0.78609,-0.0023431,0
0.78609,-0.0067848,0
0.78609,-0.011226,0
0.78609,-0.01357,0
0.80912,0,0
0.80912,-0.0023431,0
0.80912,-0.0067848,0
0.80912,-0.011226,0
0.80912,-0.01357,0
0.83215,0,0
0.83215,-0.0023431,0
0.83215,-0.0067848,0
0.83215,-0.011226,0
0.83215,-0.01357,0
0.8443,0,0
0.8443,-0.0023431,0
0.8443,-0.0067848,0
0.8443,-0.011226,0
0.8443,-0.01357,0
0.8443,0,0
0.8443,-0.0023431,0
0.8443,-0.0067848,0
0.8443,-0.011226,0
0.8443,-0.01357,0
0.85644,0,0
0.85644,-0.0023431,0
0.85644,-0.0067848,0
0.85644,-0.011226,0
0.85644,-0.01357,0
0.87947,0,0
0.87947,-0.0023431,0
0.87947,-0.0067848,0
0.87947,-0.011226,0
0.87947,-0.01357,0
0.90251,0,0
0.90251,-0.0023431,0
0.90251,-0.0067848,0
0.90251,-0.011226,0
0.90251,-0.01357,0
0.91465,0,0
0.91465,-0.0023431,0
0.91465,-0.0067848,0
0.91465,-0.011226,0
0.91465,-0.01357,0
0.91465,0,0
0.91465,-0.0023431,0
0.91465,-0.0067848,0
0.91465,-0.011226,0
0.91465,-0.01357,0
0.9268,0,0
0.9268,-0.0023431,0
0.9268,-0.0067848,0
0.9268,-0.011226,0
0.9268,-0.01357,0
0.94983,0,0
0.94983,-0.0023431,0
0.94983,-0.0067848,0
0.94983,-0.011226,0
0.94983,-0.01357,0
0.97286,0,0
0.97286,-0.0023431,0
0.97286,-0.0067848,0
0.97286,-0.011226,0
0.97286,-0.01357,0
0.98501,0,0
0.98501,-0.0023431,0
0.98501,-0.0067848,0
0.98501,-0.011226,0
0.98501,-0.01357,0
0.98501,0,0
0.98501,-0.0023431,0
0.98501,-0.0067848,0
0.98501,-0.011226,0
0.98501,-0.01357,0
0.99716,0,0
0.99716,-0.0023431,0
0.99716,-0.0067848,0
0.99716,-0.011226,0
0.99716,-0.01357,0
1.0202,0,0
1.0202,-0.0023431,0
1.0202,-0.0067848,0
1.0202,-0.011226,0
1.0202,-0.01357,0
1.0432,0,0
1.0432,-0.0023431,0
1.0432,-0.0067848,0
1.0432,-0.011226,0
1.0432,-0.01357,0
1.0554,0,0
1.0554,-0.0023431,0
1.0554,-0.0067848,0
1.0554,-0.011226,0
1.0554,-0.01357,0
1.0554,0,0
1.0554,-0.0023431,0
1.0554,-0.0067848,0
1.0554,-0.011226,0
1.0554,-0.01357,0
1.0675,0,0
1.0675,-0.0023431,0
1.0675,-0.0067848,0
1.0675,-0.011226,0
1.0675,-0.01357,0
1.0905,0,0
1.0905,-0.0023431,0
1.0905,-0.0067848,0
1.0905,-0.011226,0
1.0905,-0.01357,0
1.1136,0,0
1.1136,-0.0023431,0
1.1136,-0.0067848,0
1.1136,-0.011226,0
1.1136,-0.01357,0
1.1257,0,0
1.1257,-0.0023431,0
1.1257,-0.0067848,0
1.1257,-0.011226,0
1.1257,-0.01357,0
1.1257,0,0
1.1257,-0.0023431,0
1.1257,-0.0067848,0
1.1257,-0.011226,0
1.1257,-0.01357,0
1.1379,0,0
1.1379,-0.0023431,0
1.1379,-0.0067848,0
1.1379,-0.011226,0
1.1379,-0.01357,0
1.1609,0,0
1.1609,-0.0023431,0
1.1609,-0.0067848,0
1.1609,-0.011226,0
1.1609,-0.01357,0
1.1839,0,0
1.1839,-0.0023431,0
1.1839,-0.0067848,0
1.1839,-0.011226,0
1.1839,-0.01357,0
1.1961,0,0
1.1961,-0.0023431,0
1.1961,-0.0067848,0
1.1961,-0.011226,0
1.1961,-0.01357,0
1.1961,0,0
1.1961,-0.0023431,0
1.1961,-0.0067848,0
1.1961,-0.011226,0
1.1961,-0.01357,0
1.2082,0,0
1.2082,-0.0023431,0
1.2082,-0.0067848,0
1.2082,-0.011226,0
1.2082,-0.01357,0
1.2313,0,0
1.2313,-0.0023431,0
1.2313,-0.0067848,0
1.2313,-0.011226,0
1.2313,-0.01357,0
1.2543,0,0
1.2543,-0.0023431,0
1.2543,-0.0067848,0
1.2543,-0.011226,0
1.2543,-0.01357,0
1.2664,0,0
1.2664,-0.0023431,0
1.2664,-0.0067848,0
1.2664,-0.011226,0
1.2664,-0.01357,0
1.2664,0,0
1.2664,-0.0023431,0
1.2664,-0.0067848,0
1.2664,-0.011226,0
1.2664,-0.01357,0
1.2786,0,0
1.2786,-0.0023431,0
1.2786,-0.0067848,0
1.2786,-0.011226,0
1.2786,-0.01357,0
1.3016,0,0
